No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
310,104,25,10,28,29,0,0,1,1,1,0,0,0,0,0,0,0
311,246,25,8,6,34,0,0,2,0,0,0,0,0,0,0,0,0
312,198,25,2,5,34,0,2,1,1,0,1,2,5,2000,4,0,28370
313,214,25,3,6,34,0,0,1,1,4,0,0,0,0,0,0,0
314,89,25,2,9,30,0,0,1,1,0,0,0,0,0,0,0,0
315,29,25,2,12,31,0,0,1,1,0,0,0,0,0,0,0,0
316,335,25,45386,12,31,0,0,1,1,1,0,0,0,0,0,0,0
317,149,25,3,14,33,0,0,1,1,1,0,0,0,0,0,0,0
318,59,26,5,7,26,0,0,1,1,2,0,0,0,0,0,0,0
319,163,26,8,3,21,0,0,1,1,0,0,0,0,0,0,0,0
320,356,26,10,1,23,0,0,1,1,2,0,0,0,0,0,0,0
321,78,26,4,6,30,0,0,1,1,1,0,0,0,0,0,0,0
322,239,26,7,6,30,0,0,1,1,0,0,0,0,0,0,0,0
323,47,26,7,5,29,0,0,1,1,0,0,0,0,0,0,0,0
324,393,26,5,1,27,0,0,1,1,0,0,0,0,0,0,0,0
325,376,26,10,2,28,0,0,1,1,0,0,0,0,0,0,0,0
326,31,26,12,6,32,0,0,1,1,1,0,0,0,0,0,0,0
327,72,26,45614,8,33,0,0,1,1,1,0,0,0,0,0,0,0
328,109,29,4,1,7,0,0,1,1,1,0,0,0,0,0,0,0
329,315,29,4,3,5,0,0,1,1,1,0,0,0,0,0,0,0
330,300,29,5,3,4,0,0,1,1,1,0,0,0,0,0,0,0
331,210,29,2,3,8,0,0,1,1,5,0,0,0,0,0,0,0
332,79,29,2,4,9,0,0,1,1,4,0,0,0,0,0,0,0
333,429,29,3,1,6,0,0,1,1,0,0,0,0,0,0,0,0
334,314,29,5,4,6,0,0,1,1,1,0,0,0,0,0,0,0
335,143,29,45600,4,9,0,0,1,1,0,0,0,0,0,0,0,0
336,201,29,2,7,9,0,0,1,1,0,0,0,0,0,0,0,0
337,160,29,1,7,9,0,0,1,1,3,0,0,0,0,0,0,0
338,162,29,3,6,12,0,0,1,1,0,0,0,0,0,0,0,0
339,399,29,3,7,12,0,0,1,1,2,0,0,0,0,0,0,0
